usuario1,user1@mail.com,pass1
usuario2,user2@mail.com,pass2
usuario3,user3@mail.com,pass3
usuario4,user4@mail.com,pass4
usuario5,user5@mail.com,pass5
usuario6,user6@mail.com,pass6
usuario7,user7@mail.com,pass7
usuario8,user8@mail.com,pass8
usuario9,user9@mail.com,pass9
usuario10,user10@mail.com,pass10
juanperez,juan@mail.com,123456
mariag,maria@mail.com,qwerty
admin,admin@spotify.com,admin123
profe,profe@upc.edu.pe,profe2026
carlos_dev,carlos@mail.com,cpp2026
JoseArgumedo,Jose@gasda.com,tasayco123
,,
